dx_um,patch_width_um,patch,positive_current_a,negative_current_a,signed_relative_imbalance,net_current_stderr_a,relative_two_sigma_half_width,resolved_outside_contract
0.125,0.5,right-wall:0.500-1.000um,1.5898552072492654e-11,9.535589758419723e-12,0.25017405172835266,5.085796272085338e-13,0.03999188418383448,True
0.125,0.5,right-wall:1.000-1.500um,4.31451205070955e-12,6.346665757014046e-12,-0.19061249544419775,5.5364992615346665e-14,0.010386280693158865,True
0.125,0.5,top:0.000-0.500um,4.4038343832736885e-11,4.251125999341499e-11,0.017644030380419496,1.5865465480743115e-14,0.00036662133110652547,False
0.125,0.5,top:0.500-1.000um,4.4188939048579167e-11,4.327631865906108e-11,0.01043409021406639,4.170855857532865e-15,9.53717159669109e-05,False
0.125,1.0,floor:0.000-1.000um,4.8319550683110326e-11,4.726859097757815e-11,0.010994666150774171,2.6216994761229196e-12,0.054854073540402726,False
0.125,1.0,left-wall:0.000-1.000um,1.7339759659810298e-11,9.74985778632992e-12,0.2801775214644754,3.743770649614191e-13,0.02763989308492513,True
0.125,1.0,left-wall:1.000-2.000um,3.6829916173979876e-12,6.1408728794667825e-12,-0.25019494750291127,6.276706992325068e-14,0.012778488535399165,True
0.125,1.0,right-wall:0.000-1.000um,1.5898552072492654e-11,9.535589758419723e-12,0.25017405172835266,5.085796272085338e-13,0.03999188418383448,True
0.125,1.0,right-wall:1.000-2.000um,4.31451205070955e-12,6.346665757014046e-12,-0.19061249544419775,5.5364992615346665e-14,0.010386280693158865,True
0.125,1.0,top:0.000-1.000um,8.822728288131606e-11,8.578757865247609e-11,0.014020091199889865,1.9277169923815647e-14,0.00022155774229745535,False
