depth_into_mask_nm,aperture_nm
639.75,86.50
640.35,86.50
640.95,86.50
641.55,86.50
642.16,86.50
642.76,86.50
643.36,86.50
643.96,85.90
644.56,85.90
645.16,85.90
645.76,85.90
646.36,85.30
646.96,84.70
647.56,84.10
648.16,83.50
648.76,82.90
649.36,82.90
649.96,82.90
650.57,82.90
651.17,82.90
651.77,82.90
652.37,82.90
652.97,83.50
653.57,83.50
654.17,83.50
654.77,83.50
655.37,83.50
655.97,82.90
656.57,82.90
657.17,82.90
657.77,82.30
658.37,82.30
658.98,81.10
659.58,81.10
660.18,81.10
660.78,81.70
661.38,82.30
661.98,82.90
662.58,83.50
663.18,84.10
663.78,84.70
664.38,85.30
664.98,85.30
665.58,85.30
666.18,85.30
666.78,85.30
667.39,85.30
667.99,85.30
668.59,85.30
669.19,85.30
669.79,85.30
670.39,84.70
670.99,84.10
671.59,84.10
672.19,84.10
672.79,83.50
673.39,83.50
673.99,83.50
674.59,82.90
675.19,82.90
675.80,82.90
676.40,82.90
677.00,82.90
677.60,82.30
678.20,82.30
678.80,82.30
679.40,82.90
680.00,81.70
680.60,81.70
681.20,81.70
681.80,81.70
682.40,81.70
683.00,81.10
683.60,81.10
684.20,81.10
684.81,81.10
685.41,81.10
686.01,81.10
686.61,81.10
687.21,81.10
687.81,81.70
688.41,81.70
689.01,82.30
689.61,82.30
690.21,81.70
690.81,81.70
691.41,81.10
692.01,81.10
692.61,81.10
693.22,80.49
693.82,80.49
694.42,81.10
695.02,81.10
695.62,81.70
696.22,81.70
696.82,81.70
697.42,81.70
698.02,82.90
698.62,82.90
699.22,82.90
699.82,82.90
700.42,82.90
701.02,82.90
701.63,82.90
702.23,83.50
702.83,82.90
703.43,82.90
704.03,83.50
704.63,83.50
705.23,83.50
705.83,83.50
706.43,83.50
707.03,83.50
707.63,82.90
708.23,82.90
708.83,82.90
709.43,82.30
710.04,82.30
710.64,82.30
711.24,82.90
711.84,82.90
712.44,82.90
713.04,82.90
713.64,82.90
714.24,82.90
714.84,82.30
715.44,82.90
716.04,82.90
716.64,82.90
717.24,82.90
717.84,83.50
718.45,83.50
719.05,83.50
719.65,83.50
720.25,83.50
720.85,83.50
721.45,84.10
722.05,84.10
722.65,84.10
723.25,84.10
723.85,84.10
724.45,83.50
725.05,83.50
725.65,82.90
726.25,82.90
726.86,82.30
727.46,82.30
728.06,81.70
728.66,81.70
729.26,80.49
729.86,80.49
730.46,80.49
731.06,80.49
731.66,80.49
732.26,79.89
732.86,79.29
733.46,79.29
734.06,79.29
734.66,78.69
735.27,78.69
735.87,78.69
736.47,78.69
737.07,78.69
737.67,78.69
738.27,79.29
738.87,79.29
739.47,79.29
740.07,79.29
740.67,79.89
741.27,79.89
741.87,80.49
742.47,80.49
743.07,80.49
743.67,80.49
744.28,80.49
744.88,80.49
745.48,80.49
746.08,80.49
746.68,80.49
747.28,79.89
747.88,79.89
748.48,79.29
749.08,79.29
749.68,78.69
750.28,78.69
750.88,78.69
751.48,78.69
752.08,78.69
752.69,79.29
753.29,79.89
753.89,79.89
754.49,79.89
755.09,79.89
755.69,80.49
756.29,80.49
756.89,81.10
757.49,81.10
758.09,81.10
758.69,80.49
759.29,80.49
759.89,80.49
760.49,79.89
761.10,79.89
761.70,79.89
762.30,79.29
762.90,79.89
763.50,79.89
764.10,79.89
764.70,79.89
765.30,79.29
765.90,78.69
766.50,78.69
767.10,78.09
767.70,78.09
768.30,78.09
768.90,77.49
769.51,76.89
770.11,76.89
770.71,76.89
771.31,75.69
771.91,75.69
772.51,75.69
773.11,75.69
773.71,75.69
774.31,75.69
774.91,75.69
775.51,75.69
776.11,75.69
776.71,75.69
777.31,75.69
777.92,75.69
778.52,75.09
779.12,75.09
779.72,75.09
780.32,75.09
780.92,75.09
781.52,75.09
782.12,75.09
782.72,75.09
783.32,74.49
783.92,74.49
784.52,74.49
785.12,73.89
785.72,73.89
786.33,73.89
786.93,73.89
787.53,73.89
788.13,74.49
788.73,74.49
789.33,74.49
789.93,74.49
790.53,75.09
791.13,75.09
791.73,76.29
792.33,76.29
792.93,76.89
793.53,76.89
794.13,77.49
794.73,78.09
795.34,78.09
795.94,78.09
796.54,76.89
797.14,76.89
797.74,76.29
798.34,76.29
798.94,75.69
799.54,75.09
800.14,75.09
800.74,74.49
801.34,74.49
801.94,74.49
802.54,74.49
803.14,74.49
803.75,74.49
804.35,75.09
804.95,75.09
805.55,75.69
806.15,75.69
806.75,75.69
807.35,75.69
807.95,75.69
808.55,75.69
809.15,75.09
809.75,75.09
810.35,75.09
810.95,74.49
811.55,74.49
812.16,74.49
812.76,74.49
813.36,74.49
813.96,74.49
814.56,74.49
815.16,74.49
815.76,75.09
816.36,75.09
816.96,74.49
817.56,74.49
