electron_energy_eV,a_3Pi_u_m2,A_1Pi_u_m2,b_3Pi_g_m2,B_1Pi_g_m2,C_1Delta_g_m2,c_3Sigma_g_minus_m2,D_1Sigma_g_plus_m2,e_3Sigma_u_plus_m2
4.1799999999999997,9.9219999999999998e-22,0,0,0,0,0,0,0
4.2000000000000002,1.0025999999999999e-21,0,0,0,0,0,0,0
4.2199999999999998,1.0132000000000002e-21,0,0,0,0,0,0,0
4.2400000000000002,1.0240000000000001e-21,0,0,0,0,0,0,0
4.2599999999999998,1.0350999999999999e-21,0,0,0,0,0,0,0
4.2800000000000002,1.0464e-21,0,0,0,0,0,0,0
4.2999999999999998,1.0578e-21,0,0,0,0,0,0,0
4.3200000000000003,1.0694e-21,0,0,0,0,0,0,0
4.3399999999999999,1.0811e-21,0,0,0,0,0,0,0
4.3600000000000003,1.0929e-21,2.243e-22,0,0,0,0,0,0
4.3799999999999999,1.1042000000000001e-21,3.6059999999999997e-22,0,0,0,0,0,0
4.4000000000000004,1.1152000000000001e-21,4.5280000000000007e-22,0,0,0,0,0,0
4.4199999999999999,1.1261000000000002e-21,5.2630000000000002e-22,0,0,0,0,0,0
4.4400000000000004,1.1369000000000001e-21,5.8870000000000002e-22,0,0,0,0,0,0
4.46,1.1476e-21,6.4370000000000002e-22,0,0,0,0,0,0
4.4800000000000004,1.1582000000000001e-21,6.9329999999999996e-22,0,0,0,0,0,0
4.5,1.1687000000000001e-21,7.3870000000000001e-22,0,0,0,0,0,0
4.5199999999999996,1.1792e-21,7.8079999999999995e-22,0,0,0,0,0,0
4.54,1.1896000000000001e-21,8.202e-22,0,0,0,0,0,0
4.5599999999999996,1.2e-21,8.5730000000000009e-22,0,0,0,0,0,0
4.5800000000000001,1.2102999999999999e-21,8.9250000000000006e-22,0,0,0,0,0,0
4.5999999999999996,1.2206e-21,9.2599999999999993e-22,0,0,0,0,0,0
4.6200000000000001,1.2307999999999998e-21,9.5800000000000007e-22,0,0,0,0,0,0
4.6399999999999997,1.2409000000000001e-21,9.8870000000000013e-22,0,0,0,0,0,0
4.6600000000000001,1.2509999999999998e-21,1.0182999999999999e-21,0,0,0,0,0,0
4.6799999999999997,1.2610999999999999e-21,1.0467999999999999e-21,0,0,0,0,0,0
4.7000000000000002,1.2711000000000001e-21,1.0744000000000001e-21,0,0,0,0,0,0
4.7199999999999998,1.2810000000000002e-21,1.1010999999999999e-21,0,0,0,0,0,0
4.7400000000000002,1.2909000000000001e-21,1.127e-21,0,0,0,0,0,0
4.7599999999999998,1.3006999999999999e-21,1.1522000000000001e-21,0,0,0,0,0,0
4.7800000000000002,1.3105e-21,1.1768e-21,0,0,0,0,0,0
4.7999999999999998,1.3202e-21,1.2007e-21,0,0,0,0,0,0
4.8200000000000003,1.3299000000000001e-21,1.2241e-21,0,0,0,0,0,0
4.8399999999999999,1.3395e-21,1.2469000000000001e-21,0,0,0,0,0,0
4.8600000000000003,1.349e-21,1.2693e-21,0,0,0,0,0,0
4.8799999999999999,1.3585e-21,1.2911000000000001e-21,0,0,0,0,0,0
4.9000000000000004,1.3679999999999999e-21,1.3125999999999999e-21,0,0,0,0,0,0
4.9199999999999999,1.3773999999999999e-21,1.3336e-21,0,0,0,0,0,0
4.9400000000000004,1.3867000000000001e-21,1.3542000000000001e-21,0,0,0,0,0,0
4.96,1.396e-21,1.3745000000000001e-21,0,0,0,0,0,0
4.9800000000000004,1.4053e-21,1.3944e-21,0,0,0,0,0,0
5,1.4145e-21,1.4140000000000002e-21,0,0,0,0,0,0
5.0199999999999996,1.4236e-21,1.4333000000000001e-21,0,0,0,0,0,0
5.04,1.4328e-21,1.4523000000000001e-21,0,0,0,0,0,0
5.0599999999999996,1.4419e-21,1.471e-21,0,0,0,0,0,0
5.0800000000000001,1.4509e-21,1.4894e-21,0,0,0,0,0,0
5.0999999999999996,1.4599000000000001e-21,1.5076000000000001e-21,0,0,0,0,0,0
5.1200000000000001,1.4689000000000001e-21,1.5255000000000001e-21,0,0,0,0,0,0
5.1399999999999997,1.4779000000000001e-21,1.5432000000000001e-21,0,0,0,0,0,0
5.1600000000000001,1.4869000000000001e-21,1.5607000000000002e-21,0,0,0,0,0,0
5.1799999999999997,1.4958000000000001e-21,1.5779e-21,0,0,0,0,0,0
5.2000000000000002,1.5047000000000001e-21,1.5949999999999999e-21,0,0,0,0,0,0
5.2199999999999998,1.5136000000000001e-21,1.6118000000000001e-21,0,0,0,0,0,0
5.2400000000000002,1.5224000000000001e-21,1.6284999999999998e-21,0,0,0,0,0,0
5.2599999999999998,1.5312999999999999e-21,1.6450000000000001e-21,0,0,0,0,0,0
5.2800000000000002,1.5401e-21,1.6612999999999998e-21,0,0,0,0,0,0
5.2999999999999998,1.5489999999999999e-21,1.6774000000000001e-21,0,0,0,0,0,0
5.3200000000000003,1.5578e-21,1.6934e-21,0,0,0,0,0,0
5.3399999999999999,1.5667e-21,1.7092000000000002e-21,0,0,0,0,0,0
5.3600000000000003,1.5754999999999998e-21,1.7248000000000001e-21,0,0,0,0,0,0
5.3799999999999999,1.5844e-21,1.7402999999999999e-21,0,0,0,0,0,0
5.4000000000000004,1.5933e-21,1.7557000000000002e-21,0,0,0,0,0,0
5.4199999999999999,1.6021999999999998e-21,1.7709e-21,0,0,0,0,0,0
5.4400000000000004,1.6111e-21,1.7860000000000002e-21,0,0,0,0,0,0
5.46,1.62e-21,1.801e-21,0,0,0,0,0,0
5.4800000000000004,1.629e-21,1.8158000000000002e-21,0,0,0,0,0,0
5.5,1.6379999999999998e-21,1.8305e-21,0,0,0,0,0,0
5.5199999999999996,1.647e-21,1.8450999999999998e-21,0,0,0,0,0,0
5.54,1.656e-21,1.8596e-21,0,0,0,0,0,0
5.5599999999999996,1.6652000000000001e-21,1.8740000000000001e-21,0,0,0,0,0,0
5.5800000000000001,1.6742999999999999e-21,1.8881999999999999e-21,0,0,0,0,0,0
5.5999999999999996,1.6834999999999999e-21,1.9024e-21,0,0,0,0,0,0
5.6200000000000001,1.6928000000000001e-21,1.9165000000000002e-21,0,0,0,0,0,0
5.6399999999999997,1.7020999999999998e-21,1.9304000000000003e-21,0,0,0,0,0,0
5.6600000000000001,1.7115e-21,1.9443000000000001e-21,0,0,0,0,0,0
5.6799999999999997,1.7210000000000002e-21,1.9580999999999998e-21,0,0,0,0,0,0
5.7000000000000002,1.7306000000000001e-21,1.9717999999999999e-21,0,0,0,0,0,0
5.7199999999999998,1.7401999999999999e-21,1.9854e-21,0,0,0,0,0,0
5.7400000000000002,1.7500000000000002e-21,1.9990000000000001e-21,0,0,0,0,0,0
5.7599999999999998,1.7598e-21,2.0123999999999998e-21,0,0,0,0,0,0
5.7800000000000002,1.7697999999999999e-21,2.0257999999999999e-21,0,0,0,0,0,0
5.7999999999999998,1.7799000000000002e-21,2.0392e-21,0,0,0,0,0,0
5.8200000000000003,1.7900999999999997e-21,2.0524000000000001e-21,0,0,0,0,0,0
5.8399999999999999,1.8005e-21,2.0655999999999998e-21,0,0,0,0,0,0
5.8600000000000003,1.8109999999999999e-21,2.0788000000000003e-21,0,0,0,0,0,0
5.8799999999999999,1.8217000000000002e-21,2.0919e-21,0,0,0,0,0,0
5.9000000000000004,1.8326000000000001e-21,2.1049000000000001e-21,0,0,0,0,0,0
5.9199999999999999,1.8437000000000001e-21,2.1179000000000001e-21,0,0,0,0,0,0
5.9400000000000004,1.8551e-21,2.1309000000000002e-21,0,0,0,0,0,0
5.96,1.8667000000000004e-21,2.1438000000000003e-21,0,0,0,0,0,0
5.9800000000000004,1.8785e-21,2.1567e-21,0,0,0,0,0,0
6,1.8908000000000001e-21,2.1696e-21,0,0,0,0,0,0
6.0199999999999996,1.9033000000000001e-21,2.1825000000000001e-21,0,0,0,0,0,0
6.04,1.9163000000000002e-21,2.1955000000000002e-21,0,0,0,0,0,0
6.0599999999999996,1.9298000000000003e-21,2.2084000000000002e-21,0,0,0,0,0,0
6.0800000000000001,1.9438e-21,2.2213999999999999e-21,0,0,0,0,0,0
6.0999999999999996,1.9584000000000002e-21,2.2344e-21,0,0,0,0,0,0
6.1200000000000001,1.9737e-21,2.2475000000000001e-21,0,0,0,0,0,0
6.1399999999999997,1.9898999999999999e-21,2.2606999999999998e-21,0,0,0,0,0,0
6.1600000000000001,2.0070999999999999e-21,2.2739999999999999e-21,0,0,0,0,0,0
6.1799999999999997,2.0254999999999999e-21,2.2875e-21,0,0,0,0,0,0
6.2000000000000002,2.0453e-21,2.3012000000000001e-21,0,0,0,0,0,0
6.2199999999999998,2.0670000000000003e-21,2.3151999999999998e-21,0,0,0,0,0,0
6.2400000000000002,2.0907999999999999e-21,2.3296e-21,0,0,0,0,0,0
6.2599999999999998,2.1174000000000001e-21,2.3443999999999998e-21,0,0,0,0,0,0
6.2800000000000002,2.1475000000000001e-21,2.3598e-21,0,0,0,0,0,0
6.2999999999999998,2.1822000000000001e-21,2.3759999999999999e-21,0,0,0,0,0,0
6.3200000000000003,2.2229e-21,2.3930999999999999e-21,0,0,0,0,0,0
6.3399999999999999,2.2715999999999997e-21,2.4115999999999999e-21,0,0,0,0,0,0
6.3600000000000003,2.3314000000000001e-21,2.4318000000000001e-21,0,0,0,0,0,0
6.3799999999999999,2.4067e-21,2.4544e-21,0,0,0,0,0,0
6.4000000000000004,2.5044000000000001e-21,2.4803000000000001e-21,0,0,0,0,0,0
6.4199999999999999,2.6349999999999998e-21,2.5108000000000002e-21,0,0,0,0,0,0
6.4400000000000004,2.8155000000000003e-21,2.5479000000000003e-21,0,0,0,0,0,0
6.46,3.0728e-21,2.5941000000000002e-21,0,0,0,0,0,0
6.4800000000000004,3.4488000000000001e-21,2.6526000000000001e-21,0,0,0,0,0,0
6.5,3.9999999999999996e-21,2.7244999999999998e-21,1.07e-23,0,0,0,0,0
6.5199999999999996,4.517e-21,2.7684999999999999e-21,1.2900000000000001e-22,0,0,0,0,0
6.54,4.7257999999999997e-21,2.7556000000000002e-21,3.0630000000000001e-22,0,0,0,0,0
6.5599999999999996,4.5586000000000004e-21,2.7010999999999998e-21,4.6239999999999993e-22,0,0,0,0,0
6.5800000000000001,4.2054999999999995e-21,2.6413999999999998e-21,5.5539999999999998e-22,0,0,0,0,0
6.5999999999999996,3.8471999999999997e-21,2.5962999999999999e-21,5.9640000000000004e-22,0,0,0,0,0
6.6200000000000001,3.5527000000000003e-21,2.5678e-21,6.0890000000000008e-22,0,0,0,0,0
6.6399999999999997,3.3273999999999999e-21,2.5520000000000001e-21,6.0860000000000006e-22,0,0,0,0,0
