electron_energy_eV,total_dissociation_cross_section_m2
14.42,9.589565040000001e-21
14.44,9.5842041500000021e-21
14.460000000000001,9.5787443100000008e-21
14.48,9.5733855099999995e-21
14.5,9.5679278200000005e-21
14.52,9.5625713300000005e-21
14.539999999999999,9.5572161899999987e-21
14.56,9.5519624299999979e-21
14.58,9.5470122399999998e-21
14.6,9.5420692800000006e-21
14.619999999999999,9.5382607399999981e-21
14.640000000000001,9.5312157599999987e-21
14.66,9.52446612e-21
14.68,9.5177155899999999e-21
14.699999999999999,9.5111649600000003e-21
14.720000000000001,9.5044145100000006e-21
14.74,9.4980643500000017e-21
14.76,9.4916145199999998e-21
14.779999999999999,9.485165049999999e-21
14.800000000000001,9.47891591e-21
14.82,9.4724670899999967e-21
14.84,9.4661185599999986e-21
14.859999999999999,9.459970290000002e-21
14.880000000000001,9.4536222499999993e-21
14.9,9.4473744000000014e-21
14.92,9.4412267199999992e-21
14.94,9.4351791600000014e-21
14.960000000000001,9.4289316999999988e-21
14.98,9.42288429e-21
15,9.4168369200000014e-21
15.02,9.4106895499999986e-21
15.039999999999999,9.4046421599999999e-21
15.06,9.3985947300000011e-21
15.08,9.392447260000001e-21
15.1,9.3862997499999993e-21
15.119999999999999,9.38035227e-21
15.140000000000001,9.3742049400000003e-21
15.16,9.3680581500000009e-21
15.18,9.3617133399999995e-21
15.199999999999999,9.3545751900000011e-21
15.220000000000001,9.3477238500000003e-21
15.24,9.3406698499999994e-21
15.26,9.3335139599999989e-21
15.279999999999999,9.3267564300000007e-21
15.300000000000001,9.3198973799999996e-21
15.32,9.3131368599999995e-21
15.34,9.306474909999999e-21
15.359999999999999,9.2998115700000001e-21
15.380000000000001,9.2932468799999996e-21
15.4,9.2866809000000009e-21
15.42,9.2803137000000007e-21
15.44,9.2739453600000014e-21
15.460000000000001,9.2677760000000011e-21
15.48,9.2615057400000014e-21
15.5,9.2553347199999988e-21
15.52,9.2493630799999996e-21
15.539999999999999,9.2430909900000001e-21
15.56,9.237118600000003e-21
15.58,9.2311460600000009e-21
15.6,9.2250735400000008e-21
15.619999999999999,9.2190011800000012e-21
15.640000000000001,9.2129290899999994e-21
15.66,9.2067574100000008e-21
15.68,9.2006862399999989e-21
15.699999999999999,9.1941156600000007e-21
15.720000000000001,9.187745770000001e-21
15.74,9.1810766399999988e-21
15.76,9.1740084300000025e-21
15.779999999999999,9.1662415400000009e-21
15.800000000000001,9.1563690800000015e-21
15.82,9.1463956500000008e-21
15.84,9.13682167e-21
15.859999999999999,9.1276472099999992e-21
15.880000000000001,9.1134572900000009e-21
15.9,9.0996646500000015e-21
15.92,9.0857718799999991e-21
15.94,9.071884110000002e-21
15.960000000000001,9.0574511299999989e-21
15.98,9.0442340999999982e-21
16,9.0313238299999998e-21
16.02,9.0188190300000007e-21
16.039999999999999,9.006920269999999e-21
16.059999999999999,8.9955289299999994e-21
16.079999999999998,8.9845470100000011e-21
16.100000000000001,8.9738773099999999e-21
16.120000000000001,8.9639237899999977e-21
16.140000000000001,8.9539924099999995e-21
16.16,8.94429313e-21
16.18,8.9341000000000008e-21
16.199999999999999,8.9190000000000025e-21
16.219999999999999,8.9000000000000006e-21
16.239999999999998,8.876700000000001e-21
16.260000000000002,8.8521000000000017e-21
16.280000000000001,8.829900000000001e-21
16.300000000000001,8.8131999999999996e-21
16.32,8.8015999999999988e-21
16.34,8.7939000000000002e-21
16.359999999999999,8.7888000000000025e-21
16.379999999999999,8.7849000000000004e-21
