effective_electron_temperature_eV,rescigno_x1_m3_s,hamilton_x1_m3_s,rescigno_x2_m3_s,hamilton_x2_m3_s,rescigno_x0p5_m3_s,hamilton_x0p5_m3_s
0.93046046046046005,8.5351491519624891e-17,1.86393381121291e-16,4.5476109831705404e-18,4.8935796108771605e-17,4.0563939939359397e-16,4.9556726880438198e-16
0.95047047047046995,9.5189336431256098e-17,2.0268691525554398e-16,5.8317868265633204e-18,5.6344077702913206e-17,4.3075498453296401e-16,5.2195564545168499e-16
0.97048048048048097,1.0573119651677501e-16,2.1975461906571101e-16,7.3745516386009296e-18,6.4405644660684193e-17,4.5656186898070398e-16,5.4885058808791499e-16
0.99049049049048998,1.16992335611647e-16,2.3759601838449203e-16,9.2059448630223489e-18,7.3134609887906995e-17,4.83047314228186e-16,5.7623502525089197e-16
1.0105005005005001,1.2898666618152701e-16,2.5620956711742801e-16,1.13562904618146e-17,8.2544016888913298e-17,5.1019839659391898e-16,6.0409210394781499e-16
1.0305105105105099,1.41726762165716e-16,2.75592710687952e-16,1.3855921995188001e-17,9.2645982490319094e-17,5.3800204840746002e-16,6.3240521013710297e-16
1.0505205205205199,1.5522387802728499e-16,2.9574194811481501e-16,1.6734937244636999e-17,1.0345181199410501e-16,5.6644509535842996e-16,6.6115798614023695e-16
1.0705305305305299,1.6948797325338503e-16,3.1665289252707602e-16,2.0022986452786998e-17,1.14972088354705e-16,5.9551429031776501e-16,6.9033434530437698e-16
1.0905405405405399,1.8452774158939399e-16,3.3832032995635403e-16,2.3749096163820801e-17,1.2721673775608702e-16,6.2519634391708197e-16,7.1991848420550697e-16
1.11055055055055,2.0035064433251e-16,3.6073827627730098e-16,2.7941528811420198e-17,1.40195074417841e-16,6.5547795215157003e-16,7.4989489265359501e-16
1.13056056056056,2.1696294705365601e-16,3.8390003219567002e-16,3.2627676670263804e-17,1.5391582766868302e-16,6.8634582125234209e-16,7.8024836173575501e-16
1.15057057057057,2.3436975916061299e-16,4.0779823620876295e-16,3.78339875862165e-17,1.6838715435777498e-16,7.1778669005575499e-16,8.10963990110254e-16
1.17058058058058,2.5257507575954802e-16,4.3242491548583999e-16,4.3585919029685998e-17,1.8361663957971e-16,7.4978735007981802e-16,8.4202718874327103e-16
1.19059059059059,2.7158182131616801e-16,4.5777153463621104e-16,4.9907916458088207e-17,1.9961128850644898e-16,7.8233466350153207e-16,8.73423684261401e-16
1.2106006006006,2.9139189466107803e-16,4.8382904235055502e-16,5.6823411695571794e-17,2.1637751187801802e-16,8.1541557921378804e-16,9.0513952107579786e-16
