experiment_key,lot_number,wafer_number,X,Y,preox_thickness,postox_thickness,postox_thickness_nan,stepheight,oxide_etch,si_etch
2024-08-21_03,9,3,-57000,-38000,1.000964597,0.4068,0.4068,42.8554,0.594164597,42.4486
2024-08-21_03,9,3,-38000,-38000,1.001256823,0.3645,0.3645,42.374,0.636756823,42.0095
2024-08-21_03,9,3,-19000,-38000,1.001655617,0.3373,0.3373,42.4711,0.664355617,42.1338
2024-08-21_03,9,3,0,-38000,1.001916094,0.3275,0.3275,42.5393,0.674416094,42.2118
2024-08-21_03,9,3,19000,-38000,1.001975843,0.3392,0.3392,42.4058,0.662775843,42.0666
2024-08-21_03,9,3,38000,-38000,1.002,0.3673,0.3673,42.2193,0.6347,41.852
2024-08-21_03,9,3,57000,-38000,1.001920588,0.4094,0.4094,42.6123,0.592520588,42.2029
2024-08-21_03,9,3,76000,-38000,1.001853522,0.2803,0.2803,45.5378,0.721553522,45.2575
2024-08-21_03,9,3,-95000,-19000,0.998247386,0.2995,0.2995,51.2238,0.698747386,50.9243
2024-08-21_03,9,3,-76000,-19000,0.999235511,0.2071,0.2071,43.8288,0.792135511,43.6217
2024-08-21_03,9,3,-57000,-19000,1.000232632,0.3738,0.3738,42.093,0.626432632,41.7192
2024-08-21_03,9,3,-38000,-19000,1.000938733,0.329,0.329,42.1434,0.671938733,41.8144
2024-08-21_03,9,3,-19000,-19000,1.001608109,0.3006,0.3006,42.4846,0.701008109,42.184
2024-08-21_03,9,3,0,-19000,1.002004882,0.29,0.29,42.6246,0.712004882,42.3346
2024-08-21_03,9,3,19000,-19000,1.001926992,0.3028,0.3028,42.4221,0.699126992,42.1193
2024-08-21_03,9,3,38000,-19000,1.001885117,0.3327,0.3327,41.9987,0.669185117,41.666
2024-08-21_03,9,3,57000,-19000,1.001772557,0.3796,0.3796,41.8675,0.622172557,41.4879
2024-08-21_03,9,3,76000,-19000,1.001498636,0.2093,0.2093,43.4518,0.792198636,43.2425
2024-08-21_03,9,3,95000,-19000,1.001190168,0.3032,0.3032,51.6182,0.697990168,51.315
2024-08-21_03,9,3,-95000,0,0.9968,0.3058,0.3058,51.2699,0.691,50.9641
2024-08-21_03,9,3,-76000,0,0.99810344,0.4158,0.4158,43.0974,0.58230344,42.6816
2024-08-21_03,9,3,-57000,0,0.999579482,0.3571,0.3571,41.7229,0.642479482,41.3658
2024-08-21_03,9,3,-38000,0,1.000607487,0.3123,0.3123,41.9046,0.688307487,41.5923
2024-08-21_03,9,3,-19000,0,1.001700438,0.2825,0.2825,42.3404,0.719200438,42.0579
2024-08-21_03,9,3,0,0,1.0025,0.2692,0.2692,42.5239,0.7333,42.2547
2024-08-21_03,9,3,19000,0,1.00198223,0.2854,0.2854,42.2717,0.71658223,41.9863
2024-08-21_03,9,3,38000,0,1.001749889,0.3175,0.3175,41.7761,0.684249889,41.4586
2024-08-21_03,9,3,57000,0,1.001649433,0.3644,0.3644,41.5082,0.637249433,41.1438
2024-08-21_03,9,3,76000,0,1.001235689,0.2053,0.2053,42.7459,0.795935689,42.5406
2024-08-21_03,9,3,95000,0,1.0007,0.3032,0.3032,50.565,0.6975,50.2618
2024-08-21_03,9,3,-95000,19000,0.997709345,0.2908,0.2908,50.5568,0.706909345,50.266
2024-08-21_03,9,3,-76000,19000,0.998269676,0.4157,0.4157,43.241,0.582569676,42.8253
2024-08-21_03,9,3,-57000,19000,0.999117086,0.3566,0.3566,41.4924,0.642517086,41.1358
2024-08-21_03,9,3,-38000,19000,1.000049945,0.3122,0.3122,41.5554,0.687849945,41.2432
2024-08-21_03,9,3,-19000,19000,1.001040056,0.2844,0.2844,41.8764,0.716640056,41.592
2024-08-21_03,9,3,0,19000,1.00168406,0.2751,0.2751,42.0332,0.72658406,41.7581
2024-08-21_03,9,3,19000,19000,1.001617097,0.2874,0.2874,41.7943,0.714217097,41.5069
2024-08-21_03,9,3,38000,19000,1.001672033,0.3176,0.3176,41.3926,0.684072033,41.075
2024-08-21_03,9,3,57000,19000,1.001819802,0.3649,0.3649,41.273,0.636919802,40.9081
2024-08-21_03,9,3,76000,19000,1.0016774,0.2053,0.2053,42.8624,0.7963774,42.6571
2024-08-21_03,9,3,95000,19000,1.001309096,0.2955,0.2955,51.0147,0.705809096,50.7192
2024-08-21_03,9,3,-76000,38000,0.997848987,0.2089,0.2089,44.8324,0.788948987,44.6235
2024-08-21_03,9,3,-57000,38000,0.998408836,0.3727,0.3727,41.6427,0.625708836,41.27
2024-08-21_03,9,3,-38000,38000,0.999301488,0.3295,0.3295,41.1347,0.669801488,40.8052
2024-08-21_03,9,3,-19000,38000,1.000100706,0.3033,0.3033,41.2254,0.696800706,40.9221
2024-08-21_03,9,3,0,38000,1.000619687,0.2947,0.2947,41.303,0.705919687,41.0083
2024-08-21_03,9,3,19000,38000,1.001084292,0.3066,0.3066,41.1419,0.694484292,40.8353
2024-08-21_03,9,3,38000,38000,1.001718735,0.3355,0.3355,40.9697,0.666218735,40.6342
2024-08-21_03,9,3,57000,38000,1.002389691,0.381,0.381,41.3817,0.621389691,41.0007
2024-08-21_03,9,3,76000,38000,1.002777231,0.21,0.21,44.3824,0.792777231,44.1724
2024-08-21_03,9,3,-76000,57000,0.9971,0.2962,0.2962,50.3866,0.7009,50.0904
2024-08-21_03,9,3,-57000,57000,0.997715757,0.4069,0.4069,43.1498,0.590815757,42.7429
2024-08-21_03,9,3,-38000,57000,0.998609713,0.3619,0.3619,41.3066,0.636709713,40.9447
2024-08-21_03,9,3,-19000,57000,0.999448824,0.3366,0.3366,40.8755,0.662848824,40.5389
2024-08-21_03,9,3,0,57000,0.999725156,0.3282,0.3282,40.7922,0.671525156,40.464
2024-08-21_03,9,3,19000,57000,1.000520478,0.3399,0.3399,40.8018,0.660620478,40.4619
2024-08-21_03,9,3,38000,57000,1.001942224,0.3677,0.3677,41.1452,0.634242224,40.7775
2024-08-21_03,9,3,57000,57000,1.003019984,0.4128,0.4128,42.8076,0.590219984,42.3948
2024-08-21_03,9,3,76000,57000,1.0037,0.291,0.291,49.7902,0.7127,49.4992
2024-08-21_03,9,3,-57000,76000,0.9971,0.2831,0.2831,49.8651,0.714,49.582
2024-08-21_03,9,3,-38000,76000,0.99820309,0.412,0.412,44.092,0.58620309,43.68
2024-08-21_03,9,3,-19000,76000,0.999199184,0.3852,0.3852,42.2354,0.613999184,41.8502
2024-08-21_03,9,3,0,76000,0.9991,0.3764,0.3764,41.7656,0.6227,41.3892
2024-08-21_03,9,3,19000,76000,0.99999065,0.3878,0.3878,42.1437,0.61219065,41.7559
2024-08-21_03,9,3,38000,76000,1.00216974,0.4165,0.4165,43.8557,0.58566974,43.4392
2024-08-21_03,9,3,57000,76000,1.0037,0.2812,0.2812,49.3165,0.7225,49.0353
2024-08-21_03,9,3,-19000,95000,0.999203619,0.2625,0.2625,48.889,0.736703619,48.6265
2024-08-21_03,9,3,0,95000,0.9991,0.2643,0.2643,49.2665,0.7348,49.0022
2024-08-21_03,9,3,19000,95000,0.999822023,0.2089,0.2089,49.1035,0.790922023,48.8946
2024-08-21_04,9,4,-19000,-95000,1.003682081,0.3117,0.3117,52.2882,0.691982081,51.9765
2024-08-21_04,9,4,0,-95000,1.0046,0.3318,0.3318,52.1168,0.6728,51.785
2024-08-21_04,9,4,19000,-95000,1.003469898,0.3225,0.3225,52.3899,0.680969898,52.0674
