source_slide,source_panel,boundary_condition,quantity,cf2_fluence_1e15_cm2,digitized_value,digitization_uncertainty,marker_center_x_px,marker_center_y_px,trace_color,evidence_grade,source_image_sha256
slide21,10_percent_F_etch_yield,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,399.351,0.237104,0.010000,685,281,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_etch_yield,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,599.026,0.171946,0.010000,726,317,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_etch_yield,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,798.701,0.141176,0.010000,767,334,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_etch_yield,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,998.377,0.137557,0.010000,808,336,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_etch_yield,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,1198.052,0.117647,0.010000,849,347,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,10_percent_F_etch_yield,CF2/F/Ar+=8/1/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,1402.597,0.106787,0.010000,891,353,black,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_surface_state,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,surface_F_uptake_ML,200.669,5.797101,1.200000,240,674,magenta,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_surface_state,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,surface_F_uptake_ML,401.338,6.183575,1.200000,280,673,magenta,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_surface_state,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,surface_F_uptake_ML,602.007,6.956522,1.200000,320,671,magenta,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_surface_state,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,surface_F_uptake_ML,797.659,7.342995,1.200000,359,670,magenta,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_surface_state,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,surface_F_uptake_ML,998.328,6.570048,1.200000,399,672,magenta,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_surface_state,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,surface_F_uptake_ML,1198.997,6.183575,1.200000,439,673,magenta,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_surface_state,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,surface_F_uptake_ML,1399.666,5.797101,1.200000,479,674,magenta,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_surface_state,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,surface_C_uptake_ML,200.669,4.637681,1.200000,240,677,blue,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_surface_state,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,surface_C_uptake_ML,797.659,8.115942,1.200000,359,668,blue,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_surface_state,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,surface_C_uptake_ML,998.328,7.342995,1.200000,399,670,blue,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_surface_state,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,surface_C_uptake_ML,1198.997,7.729469,1.200000,439,669,blue,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
slide21,20_percent_F_surface_state,CF2/F/Ar+=7/2/1; normal 200 eV Ar+; Si,surface_C_uptake_ML,1399.666,7.342995,1.200000,479,670,blue,primary_author_seminar_not_peer_reviewed,ff8d8610a8785c37046c86b69702314725be72a784635a5e57cdd75b1a425bd5
