step=206 t=31.245s dt=0.1605s depth=587.225nm mask_opening=51.235nm wall=34.89s
step=207 t=31.405s dt=0.1594s depth=590.249nm mask_opening=51.041nm wall=34.70s
step=208 t=31.563s dt=0.1583s depth=592.423nm mask_opening=50.850nm wall=33.15s
step=209 t=31.742s dt=0.1793s depth=595.272nm mask_opening=50.636nm wall=35.45s
step=210 t=31.900s dt=0.1574s depth=598.087nm mask_opening=50.447nm wall=34.07s
step=211 t=32.057s dt=0.1576s depth=600.949nm mask_opening=50.250nm wall=33.37s
step=212 t=32.215s dt=0.1579s depth=602.986nm mask_opening=50.043nm wall=33.58s
step=213 t=32.374s dt=0.1583s depth=605.424nm mask_opening=50.074nm wall=34.15s
step=214 t=32.532s dt=0.1581s depth=608.252nm mask_opening=49.907nm wall=34.08s
step=215 t=32.690s dt=0.1584s depth=611.097nm mask_opening=49.750nm wall=34.92s
step=216 t=32.849s dt=0.1587s depth=613.098nm mask_opening=49.594nm wall=33.55s
step=217 t=33.007s dt=0.1584s depth=615.548nm mask_opening=49.438nm wall=34.57s
step=218 t=33.165s dt=0.1579s depth=618.399nm mask_opening=49.283nm wall=29.51s
step=219 t=33.323s dt=0.158s depth=621.214nm mask_opening=49.128nm wall=29.34s
step=220 t=33.481s dt=0.1582s depth=623.273nm mask_opening=48.971nm wall=29.11s
step=221 t=33.640s dt=0.1584s depth=625.724nm mask_opening=48.813nm wall=31.58s
step=222 t=33.799s dt=0.1589s depth=628.577nm mask_opening=49.185nm wall=30.04s
step=223 t=33.958s dt=0.1595s depth=631.347nm mask_opening=50.140nm wall=33.73s
step=224 t=34.115s dt=0.1574s depth=633.371nm mask_opening=50.575nm wall=33.61s
step=225 t=34.271s dt=0.1552s depth=635.813nm mask_opening=50.434nm wall=35.04s
step=226 t=34.426s dt=0.1555s depth=638.688nm mask_opening=50.281nm wall=35.00s
step=227 t=34.582s dt=0.1558s depth=641.440nm mask_opening=50.103nm wall=34.06s
step=228 t=34.738s dt=0.156s depth=643.464nm mask_opening=49.912nm wall=33.72s
step=229 t=34.893s dt=0.1553s depth=645.913nm mask_opening=52.429nm wall=35.56s
step=230 t=35.048s dt=0.1551s depth=648.895nm mask_opening=52.256nm wall=36.30s
step=231 t=35.201s dt=0.1522s depth=651.625nm mask_opening=52.093nm wall=37.36s
step=232 t=35.353s dt=0.1522s depth=653.687nm mask_opening=51.941nm wall=37.86s
step=233 t=35.506s dt=0.1532s depth=656.196nm mask_opening=51.802nm wall=36.27s
step=234 t=35.659s dt=0.1536s depth=659.149nm mask_opening=51.679nm wall=37.09s
step=235 t=35.813s dt=0.154s depth=661.869nm mask_opening=51.576nm wall=34.98s
step=236 t=35.968s dt=0.1541s depth=663.990nm mask_opening=51.496nm wall=35.18s
step=237 t=36.122s dt=0.1542s depth=666.546nm mask_opening=51.443nm wall=35.83s
step=238 t=36.276s dt=0.1546s depth=669.540nm mask_opening=51.420nm wall=38.30s
step=239 t=36.431s dt=0.1549s depth=672.208nm mask_opening=51.431nm wall=38.06s
step=240 t=36.586s dt=0.1551s depth=674.589nm mask_opening=51.479nm wall=39.81s
step=241 t=36.741s dt=0.1549s depth=677.287nm mask_opening=51.431nm wall=37.72s
step=242 t=36.897s dt=0.1553s depth=680.289nm mask_opening=51.406nm wall=38.02s
step=243 t=37.052s dt=0.1554s depth=682.343nm mask_opening=51.409nm wall=38.18s
step=244 t=37.210s dt=0.1578s depth=684.811nm mask_opening=51.303nm wall=37.59s
step=245 t=37.366s dt=0.156s depth=687.569nm mask_opening=51.201nm wall=39.56s
step=246 t=37.521s dt=0.1557s depth=690.525nm mask_opening=51.101nm wall=38.36s
step=247 t=37.677s dt=0.1554s depth=692.645nm mask_opening=51.000nm wall=37.82s
step=248 t=37.831s dt=0.1547s depth=695.069nm mask_opening=50.895nm wall=37.63s
step=249 t=37.987s dt=0.1552s depth=697.825nm mask_opening=50.785nm wall=37.53s
step=250 t=38.143s dt=0.1559s depth=700.713nm mask_opening=50.666nm wall=35.28s
step=251 t=38.298s dt=0.1556s depth=702.836nm mask_opening=50.537nm wall=34.25s
step=252 t=38.454s dt=0.1558s depth=705.282nm mask_opening=50.398nm wall=34.23s
step=253 t=38.610s dt=0.1564s depth=708.087nm mask_opening=50.246nm wall=35.23s
step=254 t=38.767s dt=0.157s depth=710.970nm mask_opening=51.048nm wall=37.46s
step=255 t=38.925s dt=0.1577s depth=713.232nm mask_opening=50.921nm wall=39.30s
step=256 t=39.083s dt=0.1577s depth=715.819nm mask_opening=50.783nm wall=38.97s
step=257 t=39.240s dt=0.1576s depth=718.703nm mask_opening=50.651nm wall=38.99s
step=258 t=39.399s dt=0.1586s depth=721.529nm mask_opening=51.704nm wall=39.51s
step=259 t=39.559s dt=0.1605s depth=723.842nm mask_opening=51.549nm wall=41.11s
step=260 t=39.717s dt=0.1573s depth=726.520nm mask_opening=51.407nm wall=39.66s
step=261 t=39.874s dt=0.1577s depth=729.518nm mask_opening=51.272nm wall=41.25s
step=262 t=40.031s dt=0.157s depth=732.257nm mask_opening=51.146nm wall=40.29s
step=263 t=40.190s dt=0.159s depth=734.706nm mask_opening=51.028nm wall=40.11s
step=264 t=40.351s dt=0.161s depth=737.483nm mask_opening=50.916nm wall=46.20s
step=265 t=40.513s dt=0.1613s depth=740.459nm mask_opening=50.815nm wall=41.65s
step=266 t=40.676s dt=0.163s depth=742.839nm mask_opening=50.722nm wall=41.21s
step=267 t=40.841s dt=0.1655s depth=745.335nm mask_opening=50.638nm wall=40.16s
step=268 t=41.005s dt=0.1635s depth=748.138nm mask_opening=50.566nm wall=40.57s
step=269 t=41.169s dt=0.1641s depth=751.084nm mask_opening=50.640nm wall=44.04s
step=270 t=41.333s dt=0.1642s depth=753.498nm mask_opening=50.752nm wall=41.37s
step=271 t=41.494s dt=0.1612s depth=756.147nm mask_opening=50.893nm wall=41.87s
step=272 t=41.657s dt=0.1624s depth=759.073nm mask_opening=51.060nm wall=42.51s
step=273 t=41.818s dt=0.1613s depth=761.909nm mask_opening=51.243nm wall=43.64s
