wall_energy_factor_Te,pressure_mTorr,reference_electron_temperature_eV,reference_strokes_overlap,model_electron_temperature_eV,percent_error,electron_density_m3,metastable_density_m3,axial_ion_flux_m2_s,ion_mean_free_path_m,ambipolar_diffusion_m2_s,metastable_effective_diffusion_m2_s,maximum_normalized_residual,absorbed_power_source,absorbed_power_evidence,absorbed_power_boundary_kind,supports_prediction
8.0,0.7,5.582491569590302,False,5.551918067868517,-0.5476676738453041,2.8581386925883994e+17,9.178282128701141e+16,4.5319093120553124e+20,0.04068425128180934,496.4408400148196,2.5352546189221217,2.551649143571766e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
8.0,1.0,4.9743185439583115,False,4.839617603114432,-2.7079275211975373,3.640567051297646e+17,9.237640004901774e+16,5.120269182313611e+20,0.028478975897266535,302.9239011111925,2.496018567820172,6.379122858929415e-16,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
8.0,1.5,4.400581911628774,False,4.202595801254546,-4.499089310235068,4.8317997917005843e+17,9.09832591722899e+16,5.797683115910807e+20,0.017826755628633995,196.64681900739097,2.433256062302918,1.5591842564102311e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
8.0,2.0,4.062887781787845,False,3.8332417757315684,-5.652285231348981,5.940269693025076e+17,8.878117616450848e+16,6.279653042398347e+20,0.012751761215880402,144.63767879461656,2.3735724697414056,2.3921710720985307e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
8.0,3.0,3.6699545972421634,False,3.397822228409232,-7.415142657008042,8.048012577667694e+17,8.399365834548827e+16,6.956188765212928e+20,0.007931632555027716,93.39023390104397,2.2625781564661342,2.551649143571766e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
8.0,5.0,3.264909183110295,False,2.956337583237222,-9.45115415366973,1.207239855424295e+18,7.567614586179995e+16,7.795481948820906e+20,0.004358306525160536,53.25823139087609,2.069068314553833,2.5232528879837354e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
8.0,7.0,3.0380332648460024,False,2.7159138519333625,-10.602892885998997,1.5969407416131397e+18,6.931202062533209e+16,8.337203867812999e+20,0.0029458555072220537,36.54744554742388,1.9060509134186097,3.3490395009379428e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
8.0,10.0,2.822956755849604,False,2.495750570937703,-11.590903198707487,2.1682419663212142e+18,6.2231626737339864e+16,8.900950573618572e+20,0.0019544681739418275,24.399091695269334,1.704598491062109,1.5947807147323536e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
8.0,15.0,2.6084528966638003,False,2.2807811552934165,-12.561919051307175,3.1026763746814234e+18,5.414370595600737e+16,9.527902999419548e+20,0.0012361523604097245,15.339782996595812,1.4493016040116231,4.146429858304103e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
8.0,20.0,2.4656612998860097,False,2.1469168734432706,-12.927340282198328,4.030167848621751e+18,4.85371895124027e+16,9.962425101164638e+20,0.0008985050986576369,11.011708700877978,1.2605149003775953,1.4669312354349932e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
