Warp 1.15.0 initialized:
   CUDA Toolkit 12.9, Driver 13.0
   Devices:
     "cpu"      : "x86_64"
     "cuda:0"   : "NVIDIA GeForce RTX 4090" (24 GiB, sm_89, mempool enabled)
   Kernel cache:
     /root/.cache/warp/1.15.0
Module petch.boundary_transport_3d 640f97c load on device 'cuda:0' took 2.29 ms  (cached)
Module petch.threed 43d4494 load on device 'cpu' took 1.23 ms  (cached)
step=145 t=10.343s dt=0.06125s depth=141.405nm mask_opening=77.576nm wall=9.78s
step=146 t=10.367s dt=0.02331s depth=141.730nm mask_opening=77.555nm wall=13.25s
step=147 t=10.378s dt=0.01165s depth=141.893nm mask_opening=77.545nm wall=6.03s
step=148 t=10.396s dt=0.01748s depth=142.137nm mask_opening=77.528nm wall=6.13s
step=149 t=10.418s dt=0.02247s depth=142.451nm mask_opening=77.538nm wall=6.00s
step=150 t=10.452s dt=0.0337s depth=142.921nm mask_opening=77.527nm wall=6.00s
step=151 t=10.503s dt=0.05055s depth=143.627nm mask_opening=77.479nm wall=6.12s
step=152 t=10.546s dt=0.04354s depth=144.235nm mask_opening=77.443nm wall=6.09s
step=153 t=10.604s dt=0.05758s depth=145.035nm mask_opening=77.396nm wall=6.03s
step=154 t=10.662s dt=0.05784s depth=145.850nm mask_opening=77.335nm wall=6.13s
step=155 t=10.728s dt=0.0663s depth=146.779nm mask_opening=77.271nm wall=6.10s
step=156 t=10.782s dt=0.05384s depth=147.536nm mask_opening=77.224nm wall=6.06s
step=157 t=10.804s dt=0.02229s depth=147.851nm mask_opening=77.200nm wall=12.55s
step=158 t=10.821s dt=0.01716s depth=148.093nm mask_opening=77.186nm wall=10.89s
step=159 t=10.847s dt=0.02575s depth=148.455nm mask_opening=77.165nm wall=5.88s
step=160 t=10.886s dt=0.03862s depth=148.998nm mask_opening=77.132nm wall=5.99s
step=161 t=10.943s dt=0.05793s depth=149.793nm mask_opening=77.080nm wall=6.09s
step=162 t=11.020s dt=0.07645s depth=150.823nm mask_opening=77.023nm wall=6.15s
step=163 t=11.058s dt=0.03823s depth=151.341nm mask_opening=76.990nm wall=6.37s
step=164 t=11.113s dt=0.05534s depth=152.090nm mask_opening=76.956nm wall=5.95s
step=165 t=11.193s dt=0.07913s depth=153.163nm mask_opening=76.860nm wall=6.14s
step=166 t=11.257s dt=0.06395s depth=154.033nm mask_opening=76.816nm wall=12.75s
step=167 t=11.313s dt=0.05651s depth=154.808nm mask_opening=76.764nm wall=11.57s
step=168 t=11.377s dt=0.06376s depth=155.697nm mask_opening=76.709nm wall=6.31s
Traceback (most recent call last):
  File "/root/petch-a15634f/scripts/krueger_2024_trench_pilot.py", line 1096, in <module>
    run(parse_args())
  File "/root/petch-a15634f/scripts/krueger_2024_trench_pilot.py", line 762, in run
    result = advance_feature_step_3d(
             ^^^^^^^^^^^^^^^^^^^^^^^^
  File "/root/petch-a15634f/src/petch/feature_step_3d.py", line 2333, in advance_feature_step_3d
    transport, neutral_radiosity_diagnostics = _apply_diffuse_neutral_transport(
                                               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/root/petch-a15634f/src/petch/feature_step_3d.py", line 1615, in _apply_diffuse_neutral_transport
    visibility_receipt = estimate_diffuse_form_factors_3d(
                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/root/petch-a15634f/src/petch/boundary_transport_3d.py", line 2523, in estimate_diffuse_form_factors_3d
    events = trace_diffuse_form_factor_events_cellwise_certified_3d(
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/root/petch-a15634f/src/petch/boundary_transport_3d.py", line 2328, in trace_diffuse_form_factor_events_cellwise_certified_3d
    raise RuntimeError(
RuntimeError: exact replay of cellwise diffuse visibility encountered solid-facing hard intersection for 1 of 36856 rays; first_ray=1872; maximum_wraps=1024
