electron_temperature_eV,a_3Pi_u_m3_s,A_1Pi_u_m3_s,b_3Pi_g_m3_s,B_1Pi_g_m3_s,C_1Delta_g_m3_s,c_3Sigma_g_minus_m3_s,D_1Sigma_g_plus_m3_s,e_3Sigma_u_plus_m3_s,summed_state_rate_m3_s
3.47173173173173,2.553706393370208e-15,2.0496905913362715e-15,6.263461567758123e-16,1.6320779585473547e-16,1.3689262198825717e-17,5.991467959705761e-18,7.29986428591319e-18,1.854286776802631e-18,5.421785818558274e-15
3.49174174174174,2.572731660918808e-15,2.0648317796403182e-15,6.340148198782407e-16,1.655658094509933e-16,1.387306837404718e-17,6.0692559162673904e-18,7.40489172574883e-18,1.8871174269454063e-18,5.466378403331369e-15
3.51175175175175,2.591677225479865e-15,2.0798878989635606e-15,6.416935765984454e-16,1.6793011873587974e-16,1.4056941009893956e-17,6.147103657296307e-18,7.510164298323554e-18,1.9201572543563172e-18,5.510823185997621e-15
3.53176176176176,2.610542545126433e-15,2.0948587199925158e-15,6.493818403961222e-16,1.7030047654067154e-16,1.4240858258517563e-17,6.225003257991735e-18,7.61567073019785e-18,1.953403024160983e-18,5.555118517326612e-15
3.55177177177177,2.6293271016992902e-15,2.109744035902002e-15,6.570790324748157e-16,1.7267663845437156e-16,1.4424798660369286e-17,6.302946922064889e-18,7.721399887273715e-18,1.986851504796318e-18,5.599262805504983e-15
3.57178178178178,2.648030400305446e-15,2.1245436617144102e-15,6.647845817471456e-16,1.7505836284279054e-16,1.4608741142810468e-17,6.380926981253709e-18,7.827340775288723e-18,2.020499469052785e-18,5.6432545149782e-15
3.59179179179179,2.6666519688229518e-15,2.1392574336745512e-15,6.724979247981617e-16,1.774454108653958e-16,1.4792665018513857e-17,6.458935894779464e-18,7.93348254021248e-18,2.0543436950800855e-18,5.687092165309646e-15
3.6118018018018,2.6851913574146246e-15,2.1538852086378144e-15,6.802185058473003e-16,1.798375464900442e-16,1.4976549983666284e-17,6.5369662487495575e-18,8.039814468550155e-18,2.0883809673583182e-18,5.730774330058109e-15
3.63181181181181,2.7036481380492243e-15,2.1684268634731264e-15,6.879457767086746e-16,1.8223453650565791e-16,1.5160376115985018e-17,6.6150107555082494e-18,8.146325987556255e-18,2.1226080776344457e-18,5.774299635673368e-15
3.65182182182182,2.72202190402936e-15,2.1828822944788498e-15,6.956791967500653e-16,1.8463615053292515e-16,1.5344123872556977e-17,6.693062252939074e-18,8.253006665363767e-18,2.157021825824948e-18,5.817666760407884e-15
3.67183183183183,2.740312269527895e-15,2.197251416812737e-15,7.034182328504527e-16,1.8704216103310495e-16,1.5527774087512638e-17,6.771113703720991e-18,8.359846211030899e-18,2.1916190208858346e-18,5.860874433247341e-15
3.69184184184184,2.7585188691312625e-15,2.2115341639349407e-15,7.111623593562824e-16,1.8945234331501652e-16,1.571130796954344e-17,6.84915819454166e-18,8.46683447451022e-18,2.22639648164969e-18,5.903921432857746e-15
3.71185185185185,2.7766413573905643e-15,2.2257304870637732e-15,7.189110580364276e-16,1.9186647554026928e-16,1.58947070992725e-17,6.9271889352691036e-18,8.573961446542451e-18,2.261351037631839e-18,5.94680658654975e-15
3.73186186186186,2.7946794083795543e-15,2.2398403546444715e-15,7.266638180360558e-16,1.942843387268196e-16,1.6077953426488392e-17,7.005199258086164e-18,8.681217258479445e-18,2.296479529804795e-18,5.98952876925976e-15
3.75187187187187,2.812632715260852e-15,2.2538637518303194e-15,7.344201358292762e-16,1.9670571675091314e-16,1.6261029267249536e-17,7.083182616588007e-18,8.788592182038497e-18,2.331778811343104e-18,6.03208690254858e-15
3.77188188188188,2.8305009898581608e-15,2.2678006799759273e-15,7.421795151708094e-16,1.9913039634749588e-16,1.6443917300869462e-17,7.161132584846092e-18,8.896076628992357e-18,2.3672457483383254e-18,6.0744799536154395e-15
3.79189189189189,2.8482839622362845e-15,2.281651156142665e-15,7.499414670465163e-16,2.015581671091229e-16,1.6626600566789316e-17,7.239042856441386e-18,9.003661150796669e-18,2.4028772204849033e-18,6.1167069343290995e-15
3.8119019019019,2.865981380288922e-15,2.2954152126156847e-15,7.577055096231261e-16,2.0398882148347576e-16,1.680906246134692e-17,7.316907243466974e-18,9.111336438158782e-18,2.4386701217385406e-18,6.158766900275919e-15
3.83191191191191,2.883593009331976e-15,2.3090928964326673e-15,7.654711681969181e-16,2.064221547695095e-16,1.699128673444958e-17,7.394719675504321e-18,9.219093320550715e-18,2.474621360945985e-18,6.2006589498225215e-15
3.85192192192192,2.901118631705421e-15,2.3226842689235087e-15,7.732379751415924e-16,2.0885796511231028e-16,1.7173257486156375e-17,7.472474198573347e-18,9.326922765667218e-18,2.510727862449043e-18,6.242382223195677e-15
3.87193193193193,2.9185580463804965e-15,2.3361894052614817e-15,7.810054698554044e-16,2.1129605349671542e-16,1.7354959163179703e-17,7.550164974059611e-18,9.434815878835755e-18,2.546986566661599e-18,6.2839359015768344e-15
3.89194194194194,2.9359110685756606e-15,2.3496083940249674e-15,7.887731987074075e-16,2.1373622373974913e-16,1.7536376555310254e-17,7.62778627761909e-18,9.542763902375975e-18,2.5833944306211198e-18,6.32531920621371e-15
3.91195195195195,2.953177529377057e-15,2.362941336769812e-15,7.965407149830778e-16,2.1617828248193534e-16,1.771749479177282e-17,7.705332498063319e-18,9.650758214914518e-18,2.6199484285158234e-18,6.366531397545149e-15
3.93196196196196,2.9703572753677213e-15,2.376188347612244e-15,8.043075788292278e-16,2.1862203917752977e-16,1.7898299337519215e-17,7.782798136226027e-18,9.75879033065682e-18,2.6566455521866933e-18,6.407571774343312e-15
3.95197197197197,2.9874501682618937e-15,2.38934955282176e-15,8.120733571984035e-16,2.210673060837323e-16,1.8078775989463843e-17,7.860177803813344e-18,9.86685189861709e-18,2.693482811606537e-18,6.448439672869291e-15
3.97198198198198,3.004456084546344e-15,2.4024250904240447e-15,8.198376237924402e-16,2.2351389824892916e-16,1.82589108726676e-17,7.937466222237913e-18,9.974934701811133e-18,2.7304572353355583e-18,6.48913446604381e-15
3.99199199199199,3.0213749151287625e-15,2.415415109813791e-15,8.275999590057944e-16,2.2596163349999315e-16,1.8438690436474732e-17,8.014658221440174e-18,1.008303065641091e-17,2.7675658709545897e-18,6.529655562633621e-15
